"user_id","metric_id","conversion_date"
7,"Pay/Subscribe",2018-10-08
7,"Sign Up",2018-10-03
7,"Talk to Sales",2018-10-06
7,"Use Feature 1",2018-10-03
13,"Sign Up",2018-04-23
16,"Sign Up",2018-06-30
18,"Sign Up",2018-04-13
18,"Use Feature 1",2018-04-15
20,"Sign Up",2018-04-28
20,"Use Feature 1",2018-05-02
21,"Sign Up",2018-12-04
27,"Pay/Subscribe",2018-09-22
27,"Sign Up",2018-09-14
27,"Talk to Sales",2018-09-14
27,"Use Feature 1",2018-09-16
35,"Sign Up",2018-05-05
35,"Use Feature 1",2018-05-05
42,"Sign Up",2018-10-14
42,"Talk to Sales",2018-10-17
42,"Use Feature 1",2018-10-16
44,"Sign Up",2018-12-03
47,"Pay/Subscribe",2018-10-11
47,"Sign Up",2018-10-09
47,"Talk to Sales",2018-10-08
47,"Use Feature 1",2018-10-06
50,"Sign Up",2018-05-25
54,"Pay/Subscribe",2018-06-14
54,"Sign Up",2018-06-10
54,"Talk to Sales",2018-06-13
54,"Use Feature 1",2018-06-14
60,"Sign Up",2018-11-15
62,"Sign Up",2018-09-01
63,"Sign Up",2018-12-25
63,"Talk to Sales",2018-12-23
63,"Use Feature 1",2018-12-25
66,"Pay/Subscribe",2018-12-07
66,"Sign Up",2018-12-07
66,"Talk to Sales",2018-12-09
66,"Use Feature 1",2018-12-05
67,"Sign Up",2018-09-11
67,"Use Feature 1",2018-09-16
68,"Pay/Subscribe",2018-12-15
68,"Sign Up",2018-12-08
68,"Talk to Sales",2018-12-12
68,"Use Feature 1",2018-12-10
72,"Sign Up",2018-05-18
72,"Talk to Sales",2018-05-26
72,"Use Feature 1",2018-05-20
78,"Sign Up",2018-08-11
79,"Sign Up",2019-01-31
79,"Use Feature 1",2019-01-29
84,"Sign Up",2018-10-23
86,"Sign Up",2018-05-23
94,"Sign Up",2019-01-31
94,"Use Feature 1",2019-02-03
116,"Sign Up",2018-11-24
117,"Sign Up",2018-04-15
125,"Sign Up",2018-11-18
125,"Use Feature 1",2018-11-18
128,"Sign Up",2018-08-13
130,"Pay/Subscribe",2018-09-17
130,"Sign Up",2018-09-12
130,"Talk to Sales",2018-09-19
130,"Use Feature 1",2018-09-12
140,"Pay/Subscribe",2018-07-30
140,"Sign Up",2018-07-27
140,"Talk to Sales",2018-07-30
140,"Use Feature 1",2018-07-30
141,"Sign Up",2018-06-23
142,"Sign Up",2018-12-23
142,"Use Feature 1",2018-12-24
143,"Pay/Subscribe",2018-10-01
143,"Sign Up",2018-09-23
143,"Talk to Sales",2018-09-26
143,"Use Feature 1",2018-09-26
145,"Sign Up",2018-04-17
149,"Sign Up",2018-09-29
154,"Sign Up",2018-07-11
155,"Sign Up",2018-10-27
158,"Sign Up",2019-01-19
158,"Use Feature 1",2019-01-20
170,"Pay/Subscribe",2018-12-06
170,"Sign Up",2018-11-30
170,"Talk to Sales",2018-12-01
170,"Use Feature 1",2018-12-02
173,"Sign Up",2018-12-23
173,"Use Feature 1",2018-12-20
174,"Sign Up",2018-09-28
174,"Use Feature 1",2018-09-26
178,"Pay/Subscribe",2018-06-14
178,"Sign Up",2018-06-06
178,"Talk to Sales",2018-06-10
178,"Use Feature 1",2018-06-09
182,"Pay/Subscribe",2018-04-20
182,"Sign Up",2018-04-17
182,"Talk to Sales",2018-04-17
182,"Use Feature 1",2018-04-16
189,"Sign Up",2018-08-03
190,"Sign Up",2018-06-06
192,"Sign Up",2018-07-03
192,"Use Feature 1",2018-07-04
196,"Sign Up",2018-10-07
197,"Sign Up",2018-09-26
198,"Pay/Subscribe",2019-02-05
198,"Sign Up",2019-01-29
198,"Talk to Sales",2019-02-07
198,"Use Feature 1",2019-01-31
205,"Pay/Subscribe",2018-05-15
205,"Sign Up",2018-05-09
205,"Talk to Sales",2018-05-13
205,"Use Feature 1",2018-05-12
209,"Pay/Subscribe",2018-07-23
209,"Sign Up",2018-07-14
209,"Talk to Sales",2018-07-14
209,"Use Feature 1",2018-07-14
216,"Pay/Subscribe",2018-07-28
216,"Sign Up",2018-07-19
216,"Talk to Sales",2018-07-23
216,"Use Feature 1",2018-07-26
218,"Sign Up",2018-07-29
218,"Use Feature 1",2018-08-01
222,"Pay/Subscribe",2018-08-13
222,"Sign Up",2018-08-05
222,"Talk to Sales",2018-08-08
222,"Use Feature 1",2018-08-06
223,"Sign Up",2018-10-14
223,"Use Feature 1",2018-10-16
224,"Sign Up",2018-05-08
229,"Sign Up",2018-10-01
232,"Pay/Subscribe",2018-06-25
232,"Sign Up",2018-06-23
232,"Talk to Sales",2018-06-30
232,"Use Feature 1",2018-06-23
233,"Sign Up",2018-10-04
233,"Use Feature 1",2018-10-07
234,"Sign Up",2018-08-14
235,"Pay/Subscribe",2019-01-08
235,"Sign Up",2019-01-02
235,"Talk to Sales",2019-01-05
235,"Use Feature 1",2019-01-02
242,"Sign Up",2018-05-11
245,"Pay/Subscribe",2018-10-14
245,"Sign Up",2018-10-14
245,"Talk to Sales",2018-10-18
245,"Use Feature 1",2018-10-11
246,"Sign Up",2018-12-04
252,"Sign Up",2018-09-24
252,"Use Feature 1",2018-09-26
266,"Sign Up",2018-07-19
277,"Pay/Subscribe",2018-10-07
277,"Sign Up",2018-10-04
277,"Talk to Sales",2018-10-06
277,"Use Feature 1",2018-10-03
281,"Sign Up",2018-06-22
283,"Sign Up",2018-09-12
